Design_ID,Design_Complexity,Lines_of_Code,Num_Modules,Target_Power_mW,Target_Frequency_MHz,Design_Tool_Used,EDA_Runtime_min,Simulation_Bugs_Found,Meets_Timing,Estimated_Power_Usage_mW
DGN_10115,Medium,37813,21,126.67,1752.05,Mentor,948.16,1,1,153.98747974148682
DGN_10116,Medium,71729,41,290.39,2430.47,Synopsys,507.62,2,0,306.48175070370684
DGN_10117,High,65686,17,194.62,1323.71,OpenROAD,244.47,2,1,205.42812432994074
DGN_10118,Medium,9512,31,296.9,1632.91,Mentor,554.49,4,1,287.17328493918365
DGN_10119,Medium,27666,24,143.12,1483.14,Mentor,939.95,2,0,109.28160037280526
DGN_10120,Low,21630,37,164.41,1262.23,OpenROAD,950.07,6,0,161.00533026700128
DGN_10121,Low,79519,46,131.14,2130.3,Synopsys,322.81,2,0,144.8516690804865
DGN_10122,Low,5636,36,95.72,1646.86,Synopsys,259.46,0,0,70.17557722396332
DGN_10123,Low,8775,12,85.79,2023.15,OpenROAD,1109.44,1,0,81.19977769473357
DGN_10124,Medium,72957,33,286.27,1987.27,OpenROAD,110.16,3,1,291.89113710970753
DGN_10125,Medium,69591,44,296.7,558.51,OpenROAD,897.6,0,1,305.9251427798148
DGN_10126,Medium,83561,23,61.23,1660.39,OpenROAD,112.92,0,0,69.33806096829275
DGN_10127,High,79816,10,87.59,579.16,OpenROAD,1015.21,2,1,89.27917833934171
DGN_10128,High,16351,48,155.88,1499.97,Mentor,1092.17,1,1,148.51694172670182
DGN_10129,High,60184,43,96.58,1725.84,Cadence,399.06,2,0,96.73811949568973
DGN_10130,Medium,74180,45,140.97,2493.36,OpenROAD,144.29,3,0,137.03329335193683
DGN_10131,Medium,86678,25,82.27,173.3,Cadence,607.98,2,0,78.08845777130507
DGN_10132,Medium,78309,26,164.13,318.98,Synopsys,400.25,0,1,150.79493199583078
DGN_10133,Low,99002,46,117.92,284.86,Mentor,535.54,2,1,109.86537227494205
DGN_10134,Medium,15778,14,137.98,1056.07,Cadence,818.08,2,0,151.18859113220284
DGN_10135,High,17501,14,73.58,2071.81,Synopsys,299.2,1,0,81.94426604130294
DGN_10136,High,7108,33,157.03,2125.74,Synopsys,466.92,0,1,171.68920932590495
DGN_10137,Low,99905,20,295.81,1868.75,Synopsys,952.12,1,1,292.5085034810108
DGN_10138,Medium,41382,5,132.21,2252.51,OpenROAD,793.89,1,1,118.35078093619694
DGN_10139,High,96354,21,269.11,874.86,Mentor,431.95,0,1,294.0120361104608
DGN_10140,Low,80787,34,260.8,311.57,Synopsys,817.3,1,0,274.81510152906645
DGN_10141,Medium,28341,30,288.01,239.57,OpenROAD,932.46,4,1,272.6433786012124
DGN_10142,High,82214,23,247.53,2145.12,Cadence,735.43,4,1,252.87433769985228
DGN_10143,Medium,19367,25,214.9,1853.05,Mentor,333.03,2,1,224.1154181484537
DGN_10144,Low,74868,21,264.15,1776.68,Cadence,60.28,5,1,261.3787709478023
DGN_10145,Medium,17002,44,68.91,915.22,Cadence,975.25,1,1,66.13672502385491
DGN_10146,High,90820,25,165.71,1011.77,OpenROAD,997.8,3,0,153.4027326877358
DGN_10147,Medium,64949,45,297.31,2399.47,Cadence,855.27,3,0,299.19939533180303
DGN_10148,Low,20700,44,242.4,253.13,Mentor,147.3,3,1,243.32993341960244
DGN_10149,Medium,84305,49,290.52,1956.96,Cadence,727.15,1,1,271.7964676266359
DGN_10150,Medium,67543,23,244.91,843.12,OpenROAD,995.96,0,0,242.08373992574633
DGN_10151,Medium,34318,11,268.72,193.73,Synopsys,504.22,3,1,260.8099376821439
DGN_10152,Medium,94859,21,226.63,1882.17,OpenROAD,285.72,2,1,241.6762240534796
DGN_10153,Low,32610,5,240.13,894.19,Synopsys,729.9,2,0,240.67982778029847
DGN_10154,High,77499,41,180.79,1833.15,Cadence,1001.99,2,1,202.6112371310954
DGN_10155,Low,78374,10,281.06,1798.37,Synopsys,115.71,3,0,263.8305907699553
DGN_10156,Medium,70226,30,256.26,1383.49,OpenROAD,740.52,0,1,269.61774892124697
DGN_10157,Low,50167,6,260.97,1965.7,OpenROAD,793.22,2,1,243.99585431453488
DGN_10158,Medium,82779,36,218.25,1494.49,Mentor,746.7,2,1,220.8610944555257
DGN_10159,Medium,32939,9,126.14,787.93,Mentor,801.04,3,0,133.93130773579588
DGN_10160,Medium,66365,41,58.91,1861.88,Synopsys,779.77,2,1,37.34980034779505
DGN_10161,Low,72381,35,283.91,1513.94,Synopsys,208.66,3,0,279.92893492640457
DGN_10162,Medium,51710,16,196.53,130.55,Mentor,327.83,0,1,202.2267008416069
DGN_10163,Low,21766,39,124.54,2263.95,Cadence,765.65,2,1,154.00937507789095
DGN_10164,Medium,17780,34,87.28,1409.54,Mentor,80.17,3,1,68.45398122203746
DGN_10165,High,53458,10,257.38,2184.71,Cadence,783.61,3,1,255.78580260017475
DGN_10166,Medium,61221,19,259.13,2218.57,Synopsys,818.54,1,1,251.03378789381085
DGN_10167,Medium,6509,19,253.63,1167.92,Synopsys,332.66,2,0,258.20664612040184
DGN_10168,Medium,94493,20,211.27,1318.38,OpenROAD,741.87,1,1,202.6815480400836
DGN_10169,Low,39346,24,141.5,1097.81,OpenROAD,668.86,2,0,120.09410129687174
DGN_10170,Medium,87799,17,126.02,1178.65,Cadence,357.19,2,0,141.74862650883733
DGN_10171,Medium,51874,48,52.14,2248.35,Cadence,587.79,1,1,35.83945665525049
DGN_10172,Medium,31148,46,258.4,1991.55,Mentor,1096.97,0,1,283.0317107896126
DGN_10173,Low,36533,35,71.86,403.66,Cadence,546.33,1,0,52.27056435758615
DGN_10174,High,83467,38,207.69,1564.74,Synopsys,778.02,3,1,191.68519470600788
DGN_10175,Medium,6359,33,176.02,2490.18,Synopsys,100.3,2,1,174.1752737766566
DGN_10176,High,95068,7,181.67,1529.32,Synopsys,148.69,3,1,194.69791294611923
DGN_10177,Medium,65313,13,281.68,1986.09,OpenROAD,152.69,0,1,290.5503479267725
DGN_10178,Medium,25344,15,57.9,1945.75,Cadence,947.19,3,1,51.32898365983698
DGN_10179,Low,74778,15,243.35,940.76,Cadence,459.29,2,1,230.8368268272552
DGN_10180,Low,25601,29,63.01,992.44,OpenROAD,319.48,2,1,52.17301174379388
DGN_10181,High,24116,26,59.54,1837.78,OpenROAD,911.95,0,0,72.88976695084018
DGN_10182,Low,61985,46,157.45,1299.96,OpenROAD,253.75,0,1,126.27857864389028
DGN_10183,High,35782,13,65.77,1469.37,Synopsys,341.0,1,1,73.87427063012359
DGN_10184,Medium,54819,24,247.29,1810.97,Cadence,551.26,2,1,256.5667055517163
DGN_10185,Low,89416,25,182.39,1966.18,Mentor,437.84,3,1,184.4655294642092
DGN_10186,Low,74035,14,57.26,751.64,Mentor,727.35,2,0,35.89794039230873
DGN_10187,Low,49458,26,60.13,452.31,Cadence,445.14,0,1,64.95590750614481
DGN_10188,High,96556,33,203.17,800.31,Cadence,507.96,2,0,212.05762944040663
DGN_10189,Medium,13080,13,251.53,1318.09,OpenROAD,1043.69,1,1,240.28479309801105
DGN_10190,Medium,93743,9,159.45,921.14,OpenROAD,1068.37,3,1,164.7811550198065
DGN_10191,Medium,38957,44,188.65,1464.07,Synopsys,1003.59,1,1,196.7658611096224
DGN_10192,Low,18908,15,249.96,228.32,OpenROAD,1045.91,4,1,260.6763808175756
DGN_10193,Medium,95570,5,202.63,1323.4,Cadence,709.49,3,1,179.24372078654795
DGN_10194,Low,96324,46,106.19,983.16,Synopsys,796.71,2,0,138.6943039202804
DGN_10195,High,83287,5,203.26,1383.2,Mentor,695.18,1,0,193.9929899275266
DGN_10196,Medium,52482,43,207.07,1114.08,Cadence,955.57,0,1,196.756695319341
DGN_10197,Medium,43314,9,233.53,782.14,Mentor,688.14,6,1,209.09044713367078
DGN_10198,Medium,79921,26,205.22,2269.86,Cadence,186.63,5,1,170.12072948012496
DGN_10199,Medium,88768,30,292.31,543.44,Cadence,982.92,1,0,280.53976976619884
DGN_10200,High,20831,10,99.32,1735.28,Synopsys,927.07,2,1,93.66212180284646
DGN_10201,Medium,25125,36,287.77,2319.15,Synopsys,995.14,3,1,290.9461366718747
DGN_10202,Low,67451,15,184.58,1392.81,OpenROAD,277.09,3,0,186.94534602792004
DGN_10203,Medium,50708,14,217.99,2203.38,Cadence,369.64,8,1,239.30321622435636
DGN_10204,Low,22682,43,74.87,399.64,Cadence,397.16,2,1,71.66351291270051
DGN_10205,Low,87824,38,145.14,1285.09,Synopsys,639.21,3,1,162.6070666166311
DGN_10206,High,40794,35,242.34,1196.86,Mentor,212.62,2,1,254.2961696293499
DGN_10207,Medium,64372,16,226.73,119.49,OpenROAD,499.34,1,1,231.6173798101613
DGN_10208,High,44477,48,60.03,1163.82,Cadence,267.66,2,1,65.6363784267012
DGN_10209,Medium,58863,20,186.65,985.67,Synopsys,361.83,1,0,160.50669995251263
DGN_10210,Medium,94941,42,72.07,1707.52,Cadence,865.28,0,1,73.93286703150086
DGN_10211,Low,43737,7,298.96,2351.99,Synopsys,1034.48,2,1,307.23336620690407
DGN_10212,Low,7620,6,274.32,305.9,OpenROAD,86.11,4,1,277.0660395502366
DGN_10213,High,40057,9,55.27,885.94,Mentor,705.12,1,0,101.49085319962083
DGN_10214,Medium,45138,15,264.66,1165.76,Cadence,101.11,1,0,278.72719868299225
DGN_10215,High,84390,29,279.86,1192.44,Cadence,157.18,1,0,268.72637733301775
DGN_10216,Medium,58024,39,138.39,1959.54,OpenROAD,863.8,6,1,117.97687338661348
DGN_10217,Low,14677,39,229.88,1164.15,Mentor,898.59,1,1,251.17879778331087
DGN_10218,Medium,49111,26,160.53,165.19,Cadence,987.94,1,0,169.60050158985388
DGN_10219,Medium,29074,41,213.81,1804.25,OpenROAD,600.64,1,0,193.94309698153944
DGN_10220,Low,22824,26,135.08,2223.59,Cadence,1040.18,3,1,145.2601727615783
DGN_10221,High,5765,15,130.64,1333.37,Cadence,250.2,3,1,113.67238232300865
DGN_10222,Medium,50439,36,156.11,1494.66,OpenROAD,344.68,5,1,157.6996975798896
DGN_10223,Low,53926,39,86.39,491.05,OpenROAD,213.33,2,0,91.75891295322972
DGN_10224,Medium,41860,35,257.78,629.55,Synopsys,969.19,1,1,263.5461742880268
DGN_10225,High,17975,49,137.17,664.41,Synopsys,320.69,2,1,154.1558713201365
DGN_10226,Low,79877,12,150.04,1133.78,Cadence,237.28,5,0,126.07724536627416
DGN_10227,High,98677,24,273.51,2327.55,OpenROAD,770.35,5,0,276.30374963476527
DGN_10228,Low,82870,46,174.16,1352.28,Mentor,147.87,3,0,191.24488734163546
DGN_10229,Medium,86371,38,186.06,561.03,Mentor,111.19,2,0,172.85574059379044
DGN_10230,Medium,31548,8,289.12,738.61,Cadence,181.66,6,1,267.44736844885654
DGN_10231,Medium,95575,22,271.68,1021.64,Synopsys,60.27,3,1,269.7499326570601
DGN_10232,Medium,43736,8,92.37,1595.82,OpenROAD,854.57,1,1,96.13320420308175
DGN_10233,Medium,66562,24,168.3,1156.08,OpenROAD,700.95,3,1,177.4705612406926
DGN_10234,Medium,45409,13,292.82,1041.87,Synopsys,299.26,1,1,311.08726817333775
DGN_10235,Medium,89101,20,143.09,1455.35,OpenROAD,325.63,3,1,154.5313496109485
DGN_10236,Low,14834,30,142.89,680.4,Cadence,984.5,1,0,157.77689277675927
DGN_10237,High,5840,42,98.76,289.37,OpenROAD,632.07,4,1,122.47855738028338
DGN_10238,Medium,84409,29,78.58,158.59,OpenROAD,856.32,1,1,80.2719962648387
DGN_10239,High,36568,8,235.08,703.02,Synopsys,576.14,0,0,254.90148206022437
DGN_10240,Low,15846,45,242.51,319.82,Synopsys,331.0,3,1,246.6772920136407
DGN_10241,Medium,10899,49,292.25,907.22,Mentor,1166.26,1,1,293.46346654972746
DGN_10242,Medium,91038,45,243.35,1955.04,Cadence,704.84,0,1,257.53430624916484
DGN_10243,Medium,71101,42,110.84,1819.11,Synopsys,209.32,3,1,131.7825784123686
DGN_10244,Medium,43773,23,60.03,1566.23,Synopsys,522.94,1,1,67.09569595157976
DGN_10245,Low,79723,18,296.36,2146.0,Synopsys,435.44,1,0,292.25524777747154
DGN_10246,Medium,77762,25,135.11,776.96,OpenROAD,304.06,2,1,132.23184428839423
DGN_10247,Medium,9311,19,127.99,2224.13,Cadence,1124.12,2,1,126.38515754571948
DGN_10248,Low,61888,7,276.49,1058.17,Cadence,1064.25,3,0,311.2890800306323
DGN_10249,Medium,46616,41,196.27,1062.14,OpenROAD,287.03,1,1,171.55568757341325
DGN_10250,Medium,57134,20,103.72,1072.84,OpenROAD,461.45,1,1,96.97849935498147
DGN_10251,Low,96225,18,272.27,335.43,Synopsys,929.04,3,0,289.0823359227945
DGN_10252,High,11083,13,298.34,2441.18,Mentor,297.7,3,1,308.62940186942546
DGN_10253,High,17598,11,71.67,432.42,Mentor,734.38,1,1,45.137337454983474
DGN_10254,Medium,87476,18,265.56,918.13,Cadence,857.77,2,1,269.0153773053987
DGN_10255,Low,97416,10,147.63,866.32,Mentor,805.53,2,1,146.95800436817882
DGN_10256,Medium,7580,25,181.02,279.23,Synopsys,865.31,0,1,156.9636397763417
DGN_10257,Medium,62395,19,278.7,465.42,OpenROAD,865.64,1,0,270.5749062076174
DGN_10258,Medium,47321,12,293.34,207.66,Cadence,1159.88,2,0,326.2798651639004
DGN_10259,Medium,14386,38,115.54,801.77,Cadence,455.01,2,1,96.48982278449405
DGN_10260,Medium,58171,44,103.21,2179.98,OpenROAD,1061.59,1,1,127.00418708892555
DGN_10261,Medium,24522,5,70.13,914.66,Mentor,84.86,3,0,50.75878142981746
DGN_10262,Medium,70532,36,190.45,396.86,Cadence,388.55,4,1,166.2404576001433
DGN_10263,Medium,96760,9,53.4,1649.67,OpenROAD,115.47,0,1,57.12252596745271
DGN_10264,High,19635,34,152.97,2491.84,OpenROAD,802.37,3,1,135.30223919430267
DGN_10265,Medium,5671,26,68.35,657.58,Mentor,174.9,2,1,58.08149472091379
DGN_10266,Medium,38545,24,151.31,770.97,Mentor,1024.11,2,1,187.00546484823658
DGN_10267,High,59079,20,59.98,2432.43,Synopsys,797.11,4,0,63.34102120901018
DGN_10268,Medium,31855,11,258.8,529.06,Mentor,92.85,0,1,287.3878152695913
DGN_10269,Medium,40790,11,102.43,1326.91,Mentor,874.85,3,0,113.79838699470581
DGN_10270,Medium,56012,6,132.08,675.17,OpenROAD,1042.72,1,1,139.12524630729803
DGN_10271,Medium,19260,18,267.51,2337.64,Cadence,813.68,1,1,246.29825929245672
DGN_10272,High,70139,35,236.57,2455.65,OpenROAD,94.8,2,1,262.34538472729884
DGN_10273,Medium,6074,45,104.76,2055.27,Synopsys,1038.03,2,1,100.5713179410568
DGN_10274,High,47676,18,67.97,855.48,OpenROAD,895.01,1,0,77.63234353901427
DGN_10275,Low,14475,9,228.92,1068.37,Synopsys,491.43,0,1,244.04614537988877
DGN_10276,Low,83414,15,147.68,681.53,Mentor,434.64,3,1,134.83780971707534
DGN_10277,Medium,20120,44,241.52,2237.82,Cadence,607.0,5,0,211.97143940449737
DGN_10278,Low,28147,9,161.32,2294.94,Cadence,1048.5,0,1,156.05537047813883
DGN_10279,Low,6986,33,136.5,1105.29,OpenROAD,347.35,1,1,110.33420996283436
DGN_10280,Medium,37430,15,162.8,1675.68,Cadence,175.1,0,1,143.74195182787898
DGN_10281,Low,60479,9,237.14,497.33,Synopsys,1045.69,1,1,270.46567877307496
DGN_10282,Low,87966,36,275.56,1143.85,Synopsys,89.97,3,1,288.3388054402538
DGN_10283,High,7176,40,62.44,1615.6,Mentor,1098.54,0,1,43.68445402455859
DGN_10284,Low,89258,19,181.03,1024.97,OpenROAD,408.55,1,1,196.22929360054442
DGN_10285,Medium,89153,23,58.21,958.24,Mentor,639.37,3,1,60.26218262148274
DGN_10286,Medium,66918,26,167.1,102.4,Cadence,210.82,1,0,174.3463273937009
DGN_10287,High,32115,38,271.32,2030.3,Mentor,1088.57,1,0,297.75333689644634
DGN_10288,Low,82442,21,140.4,2234.41,Cadence,914.81,3,1,156.25523647477516
DGN_10289,High,45002,16,283.11,2426.71,Synopsys,1113.54,1,1,297.89486610928344
DGN_10290,Medium,62124,29,207.65,1826.25,OpenROAD,838.88,2,1,205.69799876462235
DGN_10291,Medium,11610,21,283.54,1417.1,OpenROAD,270.55,3,0,266.21888485628
DGN_10292,Medium,54752,14,239.29,746.28,Mentor,411.42,3,1,231.39697139809465
DGN_10293,High,83947,32,75.86,2498.32,Cadence,615.01,2,1,65.9568810579573
DGN_10294,Medium,79716,22,107.79,1515.41,Synopsys,752.27,4,0,107.43588373701911
DGN_10295,Medium,52993,22,148.54,1734.77,Cadence,1116.16,1,1,153.44846415042667
DGN_10296,Medium,15073,49,92.53,1737.77,Mentor,497.7,0,0,102.6217692133587
DGN_10297,Medium,42251,36,173.73,2128.6,Cadence,861.5,3,0,138.1990481380866
DGN_10298,High,76437,18,167.84,123.21,Synopsys,1155.55,2,1,126.8135929254116
DGN_10299,Low,43897,20,289.06,628.59,Mentor,233.71,4,1,299.86165350245744
